round,rows_before_solve,solver_budget_seconds,native_status,adapter_status,requested_gap_certified,objective,bound,mip_gap,partial_integer_mip_start_columns,native_solve_seconds,adapter_wall_seconds,num_nodes,num_simplex_iterations,screen_seconds,screen_evaluated_sides,screen_new_violated_pairs,screen_maximum_violation_pu,pdlp_method_requested,pdlp_method_readback,pdlp_mode_requested,pdlp_mode_readback,pdlp_precision_requested,pdlp_precision_readback,batch_pdlp_strong_branching_readback,batch_pdlp_reliability_branching_readback,mip_reliability_branching_readback
1,8788,1799.3424461180111,FeasibleFound,FeasibleFound,True,1118442.384611587,1118297.105971293,0.00012989371852447946,0,5.167919391,5.571357592009008,196,7727,1.0330792639870197,17563400,173,2.0459100279296125,1,1,4,4,1,1,1,1,1
2,8961,1792.6839013780118,Optimal,Optimal,True,1131794.354479981,1130850.4158005253,0.0008340196041061662,432,39.120634996,39.215407362993574,19492,332853,0.03692697800579481,17563400,14,0.15172240166566325,1,1,4,4,1,1,1,1,1
3,8975,1753.3795592890237,FeasibleFound,FeasibleFound,False,1133078.5283831311,1130841.0465015096,0.0019746926850804586,432,1756.348184979,1757.5322861550085,1373905,18286699,0.04674428602447733,17563400,0,2.842170943040401e-16,1,1,4,4,1,1,1,1,1
