gap_label,cpu_objective,gpu_objective,gpu_minus_cpu_objective,cpu_bound,gpu_bound,cpu_achieved_gap,gpu_achieved_gap,cpu_committed,gpu_committed,commitment_flips,mip_dispatch_l1_mw,mip_dispatch_max_mw,pricing_dispatch_l1_mw,price_mean_absolute_per_mwh,price_max_absolute_per_mwh,cpu_rounds,gpu_rounds,cpu_added_pairs,gpu_added_pairs,cpu_wall_seconds,gpu_wall_seconds,cpu_wall_divided_by_gpu_wall,cpu_final_residual_pu,gpu_final_residual_pu,cpu_final_security_violation_pu,gpu_final_security_violation_pu,gpu_peak_process_rss_bytes,gpu_peak_cupy_pool_used_bytes,gpu_peak_cuda_device_memory_delta_bytes
1e-3,79410.651432182,79410.65143218258,5.820766091346741e-10,79410.651432182,79410.6514321826,0.0,0.0,50,50,0,2.9063196294032423e-11,1.722355591482483e-11,4.746425474877469e-12,1.9970514131273377e-13,1.602273869139026e-12,3,3,169,169,2.702380099988659,4.916759212996112,0.5496262849003576,1.2115108916077588e-12,2.69482214321215e-13,0.0,5.684341886080802e-16,1202618368,1614848,6522335232
1e-4,79410.651432182,79410.65143218258,5.820766091346741e-10,79410.651432182,79410.6514321826,0.0,0.0,50,50,0,2.9063196294032423e-11,1.722355591482483e-11,4.746425474877469e-12,1.9970514131273377e-13,1.602273869139026e-12,3,3,169,169,2.685009099994204,3.931437131992425,0.6829586763946192,1.2115108916077588e-12,2.69482214321215e-13,0.0,5.684341886080802e-16,1155801088,1614848,6459785216
1e-5,79410.651432182,79410.65143218258,5.820766091346741e-10,79410.651432182,79410.6514321826,0.0,0.0,50,50,0,2.9063196294032423e-11,1.722355591482483e-11,4.746425474877469e-12,1.9970514131273377e-13,1.602273869139026e-12,3,3,169,169,2.725669299994479,3.9086289330007276,0.6973466519120124,1.2115108916077588e-12,2.69482214321215e-13,0.0,5.684341886080802e-16,1158766592,1614848,6401806336
1e-6,79410.651432182,79410.65143218258,5.820766091346741e-10,79410.651432182,79410.6514321826,0.0,0.0,50,50,0,2.9063196294032423e-11,1.722355591482483e-11,4.746425474877469e-12,1.9970514131273377e-13,1.602273869139026e-12,3,3,169,169,2.6759629000007408,3.67069301000447,0.729007545089553,1.2115108916077588e-12,2.69482214321215e-13,0.0,5.684341886080802e-16,1158942720,1614848,6386728960
1e-7,79410.651432182,79410.65143218258,5.820766091346741e-10,79410.651432182,79410.6514321826,0.0,0.0,50,50,0,2.9063196294032423e-11,1.722355591482483e-11,4.746425474877469e-12,1.9970514131273377e-13,1.602273869139026e-12,3,3,169,169,2.7099100000050385,3.9445887040055823,0.6869943112835126,1.2115108916077588e-12,2.69482214321215e-13,0.0,5.684341886080802e-16,1156886528,1614848,6429208576
