platform,round,solver,status,native_status,accepted_optimal,objective,bound,mip_gap,requested_mip_gap,reported_gap_meets_request,partial_integer_mip_start_columns,adapter_wall_seconds,native_solve_seconds,screen_wall_seconds,screen_new_violated_pairs,screen_maximum_violation_pu
laptop_cpu,1,highs,Optimal,,True,1118369.0752586953,1118307.518523386,5.504152132878634e-05,,,,1.1660513000097126,1.1653632999950787,0.15666399999463465,87,1.7004184187917621
laptop_cpu,2,highs,Optimal,,True,1131983.6419702517,1130859.490840776,0.000993080719363732,,,,20.599174899994978,20.593780899987905,0.165592999997898,19,0.20026709083703054
laptop_cpu,3,highs,Optimal,,True,1133479.3855011363,1132599.3522354912,0.0007763998859633739,,,,981.4908601999923,981.4854461000068,0.1727080999989994,0,0.0
dgx_spark,1,cuopt,FeasibleFound,FeasibleFound,False,1118437.5525740345,1118297.1059715485,0.0001255739331724089,0.001,True,0,5.541097277004155,5.150766666,1.0342201510065934,165,2.0415921745751096
