platform,result_status,objective,bound,mip_gap,commitment_count,constraint_generation_rounds,added_security_pairs,last_screen_new_violations,final_security_violation_pu,pricing_status,total_wall_seconds,raw_result_sha256
laptop_cpu,optimal_verified,1133479.3855011363,1132599.3522354912,0.0007763998859633739,327,3,106,0,7.892776920925826e-10,optimal_secure_fixed_commitment_lp,1007.3702709000063,5573425a8e625c0c964b2c61d33ca80666de74a350e9431a96e5ce9b90e02e3f
dgx_spark,incomplete_restricted_master_not_optimal,1118437.5525740345,1118297.1059715485,0.0001255739331724089,325,1,0,165,2.0415921745847436,not_reached,7.908521046992973,f0506e259f86854a65b3d8f0dc993b206a804a60de068cd074ce8e077926105a
