round,rows_before_solve,solver_budget_seconds,native_status,adapter_status,requested_gap_certified,objective,bound,mip_gap,partial_integer_mip_start_columns,native_solve_seconds,adapter_wall_seconds,num_nodes,num_simplex_iterations,screen_seconds,screen_new_violated_pairs,screen_maximum_violation_pu,pdlp_method_requested,pdlp_method_readback,pdlp_mode_requested,pdlp_mode_readback,pdlp_precision_requested,pdlp_precision_readback,batch_pdlp_strong_branching_readback,batch_pdlp_reliability_branching_readback,mip_reliability_branching_readback
1,8788,899.3251551470021,FeasibleFound,FeasibleFound,True,1118442.384611587,1118297.105971293,0.00012989371852447946,0,5.173057001,5.5807308689982165,198,7733,1.0767576020152774,173,2.0459100279296125,1,1,4,4,1,1,1,1,1
2,8961,892.6117567309993,Optimal,Optimal,True,1131917.1857697982,1130886.4424590988,0.0009106172462568069,432,75.840459494,75.96997458999977,49151,627922,0.04666123798233457,18,0.3149272912882208,1,1,4,4,1,1,1,1,1
3,8979,816.541211015021,FeasibleFound,FeasibleFound,False,1132912.2946259205,1130615.3757110643,0.002027446366104175,432,817.447353372,818.1014677819912,579140,9043825,0.04693155799759552,0,1.7689671949483455e-12,1,1,4,4,1,1,1,1,1
