round,rows_before_solve,native_status,adapter_status,requested_gap_certified,objective,bound,mip_gap,partial_integer_mip_start_columns,native_solve_seconds,adapter_wall_seconds,screen_seconds,screen_new_violated_pairs,screen_maximum_violation_pu
1,8788,FeasibleFound,FeasibleFound,True,1118493.5264852366,1118297.105971293,0.0001756116680973317,0,5.169369345,5.5749106550065335,1.0358847960014828,349,2.14963000923198
2,9137,Optimal,Optimal,True,1131886.5201531295,1130983.143821981,0.00079811563708963,432,72.256198928,72.37665316500352,0.03782720700837672,17,0.1910390724148988
3,9154,FeasibleFound,FeasibleFound,False,1133240.316366717,1130745.8782881377,0.0022011554323924207,432,1586.303953622,1587.1721857810044,0.04642897201119922,0,5.684341886080802e-16
