round,rows_before_solve,solver_budget_seconds,native_status,adapter_status,requested_gap_certified,objective,bound,mip_gap,partial_integer_mip_start_columns,native_solve_seconds,adapter_wall_seconds,screen_seconds,screen_new_violated_pairs,screen_maximum_violation_pu
1,8788,899.3477629380068,FeasibleFound,FeasibleFound,True,1118493.5264852366,1118297.105971293,0.0001756116680973317,0,5.192783418,5.594020663003903,1.0320305890054442,349,2.14963000923198
2,9137,892.6778778269945,Optimal,Optimal,True,1131847.9914849338,1130882.4058991517,0.0008531053578252214,432,41.711940562,41.81043201600551,0.03673612800776027,14,0.33558450914348553
3,9151,850.7799297489983,FeasibleFound,FeasibleFound,False,1132939.7883696237,1130527.1304606935,0.0021295552806028916,432,851.769564047,852.377109730005,0.046450465015368536,0,5.968558980384841e-15
