gap_label,round,rows_before_solve,solver_budget_seconds,solver_status,objective,bound,achieved_mip_gap,adapter_wall_seconds,native_solve_seconds,presolve_seconds,partial_integer_mip_start_columns,num_nodes,num_simplex_iterations,screen_wall_seconds,screen_evaluated_sides,screen_new_violated_pairs,screen_maximum_violation_pu
1e-3,1,1713,1664.6657224980008,Optimal,66237.21653743445,66237.21653743448,0.0,1.31229300799896,0.922690957,0.41483478500000004,0,56,426,1.0075297659932403,401704,167,2.6654999999999998
1e-3,2,1880,1662.3307020709908,Optimal,78474.49943218248,78474.49943218249,0.0,0.8138434739958029,0.788979079,0.291111377,56,14,1618,0.003397940003196709,401704,2,2.353269964470096
1e-3,3,1882,1661.5007176229992,Optimal,79410.65143218258,79410.6514321826,0.0,0.8122776430100203,0.788658716,0.272117905,56,16,1541,0.003353988009621389,401704,0,2.7284841053187846e-14
1e-4,1,1713,1664.6393531770009,Optimal,66237.21653743445,66237.21653743448,0.0,1.317690286989091,0.92671957,0.419645073,0,59,431,0.04758411900547799,401704,167,2.6654999999999998
1e-4,2,1880,1663.2664883879916,Optimal,78474.49943218248,78474.49943218249,0.0,0.8246008819987765,0.799650914,0.292245699,56,14,1618,0.0034115869930246845,401704,2,2.353269964470096
1e-4,3,1882,1662.424388925996,Optimal,79410.65143218258,79410.6514321826,0.0,0.8029714850126766,0.780019682,0.278990776,56,16,1541,0.003504035994410515,401704,0,2.7284841053187846e-14
1e-5,1,1713,1664.65036847,Optimal,66237.21653743445,66237.21653743448,0.0,1.3056604290031828,0.914697946,0.412237252,0,56,428,0.045213170000351965,401704,167,2.6654999999999998
1e-5,2,1880,1663.2919940930005,Optimal,78474.49943218248,78474.49943218249,0.0,0.8048136459983652,0.779565011,0.276655598,56,14,1618,0.0034079219913110137,401704,2,2.353269964470096
1e-5,3,1882,1662.471113407999,Optimal,79410.65143218258,79410.6514321826,0.0,0.7773945189983351,0.753355673,0.259477585,56,16,1541,0.0033616489963606,401704,0,2.7284841053187846e-14
1e-6,1,1713,1664.6584583950025,Optimal,66237.21653743445,66237.21653743448,0.0,1.2142208459990798,0.848159503,0.377192411,0,50,421,0.044309324002824724,401704,167,2.6654999999999998
1e-6,2,1880,1663.3926241059962,Optimal,78474.49943218248,78474.49943218249,0.0,0.769749362996663,0.745423896,0.270735685,56,14,1618,0.0029399640043266118,401704,2,2.353269964470096
1e-6,3,1882,1662.6054552309943,Optimal,79410.65143218258,79410.6514321826,0.0,0.743515041001956,0.720979608,0.259633384,56,16,1541,0.0028061869961675256,401704,0,2.7284841053187846e-14
1e-7,1,1713,1664.6432003079972,Optimal,66237.21653743445,66237.21653743448,0.0,1.3209639389970107,0.928739309,0.421451333,0,56,428,0.04754202801268548,401704,167,2.6654999999999998
1e-7,2,1880,1663.2670973420027,Optimal,78474.49943218248,78474.49943218249,0.0,0.804517949000001,0.779778918,0.284620708,56,14,1618,0.0034865929919760674,401704,2,2.353269964470096
1e-7,3,1882,1662.4457586439967,Optimal,79410.65143218258,79410.6514321826,0.0,0.8009227080037817,0.777469258,0.284436383,56,16,1541,0.003359438996994868,401704,0,2.7284841053187846e-14
