round,rows_before_solve,solver_budget_seconds,solver_status,objective,bound,mip_gap,requested_gap_certified,precheck_status,precheck_extendable,precheck_decision,precheck_wall_seconds,native_start_submitted,native_start_columns,native_start_rejections,native_barrier_warnings,native_solve_seconds,adapter_wall_seconds,nodes,simplex_iterations,screen_seconds,screen_evaluated_sides,screen_new_violated_pairs,screen_maximum_violation_pu,added_pair_count
1,8788,1799.315751636983,FeasibleFound,1118442.384611587,1118297.105971293,0.00012989371852447946,True,,,,,False,0,0,0,5.223284705,5.673060639004689,314,8102,1.0935032989946194,17563400,173,2.0459100279296125,173
2,8961,1792.4937673549866,FeasibleFound,1131996.5235938209,1130923.4979660201,0.0009479054091004364,True,Infeasible,False,solve_cold,0.025371385010657832,False,0,0,0,35.959677678,36.09644036201644,60785,508601,0.046219125011703,17563400,13,0.29453773144060735,13
3,8974,1756.2976589069876,FeasibleFound,1132724.8128244039,1130678.342896163,0.001806678820017039,False,Unknown,False,solve_cold,3.8371679349802434,False,0,0,0,1753.117399075,1759.8888329979964,3465577,21503856,0.04757560498546809,17563400,2,0.05459646406736852,2
