round,rows_before_solve,solver_budget_seconds,adapter_wall_time_seconds,solve_time_seconds,objective,bound,mip_gap,requested_gap_certified,commitment_count,hamming_distance_from_previous_round,off_to_on_from_previous_round,on_to_off_from_previous_round,callback_count,distinct_commitment_count,last_commitment_change_seconds,stabilization_window_at_return_seconds,mip_start_precheck_decision,mip_start_precheck_status,prior_commitment_extendable,submitted_mip_start_columns,added_security_pairs,screen_new_violated_pairs,screen_maximum_violation_pu
1,8788,599.3374084929819,5.5647684919822495,5.15683159,1118487.6483139559,1118297.105971293,0.00017035712727644207,True,325,,,,1,1,5.176865273009753,0.026269425987266004,,,,0,177,177,2.0572735775437967
2,8965,592.6869507000083,69.9572379720048,69.777508872,1131959.9089969671,1130970.9006327055,0.0008737132440807006,True,321,46,21,25,33,33,63.203442413010634,6.686686650005868,solve_cold,Infeasible,False,0,24,24,0.6148978894085622
3,8989,522.6324764209858,524.519296118,513.668376695,1133047.8684341211,1130541.7285763328,0.0022118569988128695,False,328,39,23,16,31,30,507.1349107819842,7.286749484017491,solve_cold,TimeLimit,False,0,0,0,2.2737367544323206e-15
